,job_titles,Creation date,employer,Job_Type,CountryName,Region
66,Senior Data Engineer Azure (w/m/d) (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany , Hamburg 
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Esslingen 
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Wolfsburg
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Kreisfreie Stadt 
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Region Hannover 
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Nürnberg
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Kreisfreie Stadt 
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Berlin 
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Bonn
67,Senior Cloud Data Engineer (m/w/d) (Data Engineer),2023-05-15,Deutsche Telekom AG Konzernzentrale,Full-time,Germany ,Kreisfreie Stadt
68,Data Engineer - Schwerpunkt Microsoft (m/w/d) (Data Engineer),2023-04-05,DPD DEUTSCHLAND GMBH VZ,Full-time,Germany , Aschaffenburg
68,Data Engineer - Schwerpunkt Microsoft (m/w/d) (Data Engineer),2023-04-05,DPD DEUTSCHLAND GMBH VZ,Full-time,Germany ,Kreisfreie Stadt
69,(Jr./Senior) Data Engineer [m/w/d] (Data Engineer),2023-08-03,paiqo GmbH,Full-time,Germany , Paderborn
70,Data Engineer / Data Lake Developer / IT Data Specialist (m/w/d) (Data Engineer),2023-05-19,Alfred Kärcher SE & Co. KG,Full-time,Germany , Rems-Murr-Kreis
71,Projektleiter:in Data Engineering (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
71,Projektleiter:in Data Engineering (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
71,Projektleiter:in Data Engineering (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Berlin 
71,Projektleiter:in Data Engineering (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Hamburg 
71,Projektleiter:in Data Engineering (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,München
71,Projektleiter:in Data Engineering (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
72,Data Engineer/Analyst im Chief Data Office (m/w/d) (Data Engineer),2023-05-23,Allianz Deutschland AG,Full-time,Germany , München
72,Data Engineer/Analyst im Chief Data Office (m/w/d) (Data Engineer),2023-05-23,Allianz Deutschland AG,Full-time,Germany ,Kreisfreie Stadt
73,Data Engineer Process Mining (Inhouse) (m/w/d) (Data Engineer),2023-05-30,SIEGENIA GRUPPE Verwaltungs-GmbH,Full-time,Germany , Siegen-Wittgenstein
74,Senior Data Engineer - Machine Learning (m/f/d) (Data Engineer),2023-05-19,Ratepay GmbH,Full-time,Germany , Berlin
75,Data Engineer (m/w/d) mit mehrjähriger Erfahrung (Data Engineer),2023-05-05,INIT Individ. Softwareentwickl ung und Beratungs GmbH,Full-time,Germany , Stuttgart
75,Data Engineer (m/w/d) mit mehrjähriger Erfahrung (Data Engineer),2023-05-05,INIT Individ. Softwareentwickl ung und Beratungs GmbH,Full-time,Germany ,Stadtkreis
76,Junior Data Engineer - Schwerpunkt Microsoft (m/w/d) (Data Engineer),2023-04-05,DPD DEUTSCHLAND GMBH VZ,Full-time,Germany , Aschaffenburg
76,Junior Data Engineer - Schwerpunkt Microsoft (m/w/d) (Data Engineer),2023-04-05,DPD DEUTSCHLAND GMBH VZ,Full-time,Germany ,Kreisfreie Stadt
77,Data Engineer m/w/d mit PowerBI Kenntnissen (Data Engineer),2023-04-27,blanc&blanc CONSULTING oHG,"Part-time,",Germany , Hamburg
78,Data Process Manager (Data Engineer),2023-03-05,c2g-engineering GmbH,"Part-time,",Germany , Berlin
79,Data Analyst (mIwId) (Data Engineer),2023-04-30,LeySelect GmbH,Full-time,Germany , Baden-Württemberg
80,Werkstudent:in Data Engineer für Sensordatenanalyse Digitale Schiene Deutschland (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany , Berlin
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany , Erfurt
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Region Hannover 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Berlin 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Hamburg 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Köln
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Nürnberg
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,München
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Dresden
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Duisburg
81,Data/DevOps Engineer (m/w/d) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
82,Data Warehouse Engineer (m/d/w) (Data Engineer),2023-05-24,enercity AG,Full-time,Germany , Region Hannover
83,Data Platform Engineer (m/w/d) (Data Engineer),2023-10-05,E.ON Energie Deutschland GmbH,Full-time,Germany , München
83,Data Platform Engineer (m/w/d) (Data Engineer),2023-10-05,E.ON Energie Deutschland GmbH,Full-time,Germany ,Kreisfreie Stadt
84,AWS Cloud Data Engineer:in (Data Engineer),2023-05-18,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
84,AWS Cloud Data Engineer:in (Data Engineer),2023-05-18,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
85,AWS Cloud Data Engineer:in (Data Engineer),2023-05-17,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
85,AWS Cloud Data Engineer:in (Data Engineer),2023-05-17,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
86,Data Engineer:in Betrieb Fernverkehr (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
86,Data Engineer:in Betrieb Fernverkehr (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
87,Senior DevOps/Data Engineer:in (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
87,Senior DevOps/Data Engineer:in (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany , Köln
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Berlin 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Hamburg 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Nürnberg
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Region Hannover 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Erfurt
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Dresden
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Duisburg
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,München
88,(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
89,Data Engineer Onboarding & Technical Customer Success (m/w/d) (Data Engineer),2023-10-05,PlanerAI GmbH,"Flexible,",Germany , Würzburg
89,Data Engineer Onboarding & Technical Customer Success (m/w/d) (Data Engineer),2023-10-05,PlanerAI GmbH,"Flexible,",Germany ,Kreisfreie Stadt
90,Data Lead (all genders) (Data Engineer),2023-09-05,RECUP,Full-time,Germany , München
90,Data Lead (all genders) (Data Engineer),2023-09-05,RECUP,Full-time,Germany ,Kreisfreie Stadt
91,Data-Engineer im Global Engineering (m/w/d) zur Direktvermittlung (Data Engineer),2023-05-23,FERCHAU GmbH Niederlassung Regensburg,Full-time,Germany , Cham
92,Senior Data Platform Engineer (m/f/d) (Data Engineer),2023-05-19,Mabanaft GmbH & Co. KG,Full-time,Germany , Hamburg
93,Senior Data Engineer Azure Synapse in Mainz m/w/d (Data Engineer),2023-09-05,VP Verbund Pflegehilfe GmbH,Full-time,Germany , Mainz
93,Senior Data Engineer Azure Synapse in Mainz m/w/d (Data Engineer),2023-09-05,VP Verbund Pflegehilfe GmbH,Full-time,Germany ,Kreisfreie Stadt
94,"Data Engineer (m/w/d) für Dortmund, Hannover oder remote (Data Engineer)",2023-05-19,QuinScape,Full-time,Germany , Dortmund
94,"Data Engineer (m/w/d) für Dortmund, Hannover oder remote (Data Engineer)",2023-05-19,QuinScape,Full-time,Germany ,Kreisfreie Stadt
95,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany , Berlin 
95,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Erfurt
95,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
95,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
95,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
96,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany , Erfurt
96,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
96,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Berlin 
96,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
96,Data Engineer:in - DB Smart Logistic (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
97,Senior Data Engineer for Mercedes-Benz SoftwareFactory (all genders) - Berlin (Data Engineer),2023-10-05,MBition GmbH,Full-time,Germany , Berlin
98,Data Engineer (m/w/d) (Data Scientist),2023-05-30,Hays AG,Full-time,Germany , Berlin
99,Data Engineer (m/w/d) (Data Scientist),2023-05-29,Hays Professional Solutions GmbH Standort Stuttgart,Full-time,Germany , Baden-Württemberg
100,Data Consultant (m/w/d) (Data Engineer),2023-05-15,taod Consulting GmbH',Full-time,Germany , Köln
100,Data Consultant (m/w/d) (Data Engineer),2023-05-15,taod Consulting GmbH',Full-time,Germany ,Kreisfreie Stadt
101,Engineer Data und Analytics Ticketautomaten (w/m/d) (Data Engineer),2023-05-24,Deutsche Bahn AG,Full-time,Germany , Frankfurt am Main
101,Engineer Data und Analytics Ticketautomaten (w/m/d) (Data Engineer),2023-05-24,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
102,Operation Engineer Data Analytics Platform (d/m/w) (Data Engineer),2023-05-23,Toll Collect GmbH,Full-time,Germany , Berlin
103,Projektleiter Data Engineering (m/d/w) (Data Engineer),2023-05-27,Deutsche Bahn AG,Full-time,Germany , Berlin 
103,Projektleiter Data Engineering (m/d/w) (Data Engineer),2023-05-27,Deutsche Bahn AG,Full-time,Germany ,München
103,Projektleiter Data Engineering (m/d/w) (Data Engineer),2023-05-27,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt 
103,Projektleiter Data Engineering (m/d/w) (Data Engineer),2023-05-27,Deutsche Bahn AG,Full-time,Germany ,Hamburg 
103,Projektleiter Data Engineering (m/d/w) (Data Engineer),2023-05-27,Deutsche Bahn AG,Full-time,Germany ,Frankfurt am Main
103,Projektleiter Data Engineering (m/d/w) (Data Engineer),2023-05-27,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
104,Senior Data Engineer:in (w/m/d) (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany , Mainz
104,Senior Data Engineer:in (w/m/d) (Data Engineer),2023-05-15,Deutsche Bahn AG,Full-time,Germany ,Kreisfreie Stadt
105,(Senior) Data Engineer:in für AI Projekte (Data Engineer),2023-05-30,Deutsche Bahn AG,Full-time,Germany,
106,DATA ENGINEER BIG DATA/FAST DATA (M/W/D) (Data Scientist),2023-05-16,jambit GmbH,"Part-time,",Germany , Leipzig
106,DATA ENGINEER BIG DATA/FAST DATA (M/W/D) (Data Scientist),2023-05-16,jambit GmbH,"Part-time,",Germany ,Kreisfreie Stadt
107,Quality Data Analyst (m|w|d) (Data Engineer),2023-05-26,Miltenyi Biotec B.V. & Co. KG,Full-time,Germany , Rheinisch-Bergischer Kreis
108,Mitarbeiter Data Quality (m/w/d) (Data Engineer),2023-05-24,FATH GmbH,Full-time,Germany , Roth
109,Data Warehouse Analyst (m/w/d) (Data Engineer),2023-05-24,Networking Personalkonzepte GmbH,Full-time,Germany , Region Hannover
110,Trainee Data Consultant (m/w/d) (Data Engineer),2023-05-22,taod Consulting GmbH',Full-time,Germany , Köln
110,Trainee Data Consultant (m/w/d) (Data Engineer),2023-05-22,taod Consulting GmbH',Full-time,Germany ,Kreisfreie Stadt
111,Data Integrity Manager (m/w/d) (Data Engineer),2023-05-15,Biotest AG,Full-time,Germany , Offenbach
111,Data Integrity Manager (m/w/d) (Data Engineer),2023-05-15,Biotest AG,Full-time,Germany ,Landkreis
112,Azure Data Platform Engineer - Energy Markets (d/f/m) (Data Engineer),2023-05-17,E.ON Energy Markets GmbH,Full-time,Germany , Essen
112,Azure Data Platform Engineer - Energy Markets (d/f/m) (Data Engineer),2023-05-17,E.ON Energy Markets GmbH,Full-time,Germany ,Kreisfreie Stadt
113,(Senior) Data Scientist / Data Engineer (m/w/d) (Data Scientist),2023-05-26,FERCHAU GmbH Niederlassung Stuttgart Automotive,Full-time,Germany , Stuttgart
113,(Senior) Data Scientist / Data Engineer (m/w/d) (Data Scientist),2023-05-26,FERCHAU GmbH Niederlassung Stuttgart Automotive,Full-time,Germany ,Stadtkreis
114,Data Architect Master Data Management (m/w/d) (Data Engineer),2023-12-05,Fressnapf Holding SE,Full-time,Germany , Krefeld
114,Data Architect Master Data Management (m/w/d) (Data Engineer),2023-12-05,Fressnapf Holding SE,Full-time,Germany ,Kreisfreie Stadt
115,Data Engineering Experte (m/w/d) Produktion (Data Engineer),2023-05-30,FERCHAU GmbH Niederlassung Nürnberg City,Full-time,Germany , Nürnberg
115,Data Engineering Experte (m/w/d) Produktion (Data Engineer),2023-05-30,FERCHAU GmbH Niederlassung Nürnberg City,Full-time,Germany ,Kreisfreie Stadt
