job_titles,Creation date,employer,location,Job_Type
Senior Data Engineer (w/m/d) (Data Engineer),20/05/2023,Deutsche Bahn AG,"Germany : München, Kreisfreie Stadt",Full-time
Senior Data Engineer (w/m/d) (Data Engineer),18/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior Data Engineer (m/f/d) (Data Engineer),15/05/2023,Carly Connected Car,"Germany : München, Kreisfreie Stadt",Full-time
Senior Data Engineer (w/m/d) (Data Engineer),14/05/2023,Deutsche Bahn AG,"Germany : Mainz, Kreisfreie Stadt",Full-time
(Senior) Data Engineer (m/w/d) (Data Engineer),12/05/2023,esentri AG,"Germany : Köln, Kreisfreie Stadt",Full-time
(Senior) Data Engineer (m/w/d) (Data Engineer),12/05/2023,esentri AG,"Germany : München, Kreisfreie Stadt",Full-time
(Senior) Data Engineer (m/w/d) (Data Engineer),12/05/2023,esentri AG,"Germany : Karlsruhe, Landkreis",Full-time
Data Engineer / Architect (m/w/d) (Data Engineer),12/05/2023,Fressnapf Holding SE,"Germany : Krefeld, Kreisfreie Stadt",Full-time
Senior Data Engineer (w/m/div)* (Data Engineer),23/05/2023,Infineon Technologies AG,Germany : Soest,Full-time
Data Engineer / Software Engineer (Python) (m/w/d) (Data Engineer),08/05/2023,GS Elektromedizinische Geräte G. Stemple GmbH,Germany : Landsberg am Lech,"Flexible,"
Data Manager (Data Engineer),08/05/2023,Klinikum der Universität München,"Germany : München, Kreisfreie Stadt",Full-time
Data Engineer Data Warehouse/Business Intelligence (m/w/d) (Data Engineer),30/05/2023,WWK Lebensversicherung a. G.,"Germany : München, Kreisfreie Stadt",Full-time
Azure Data Factory & Spark Data Engineer (w|m|d) (Data Engineer),02/05/2023,BridgingIT GmbH,"Germany : Schwerin, Kreisfreie Stadt , München, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt , Mannheim, Stadtkreis , Köln, Kreisfreie Stadt , Berlin , Stuttgart, Stadtkreis , Nürnberg, Kreisfreie Stadt , Hamburg",Full-time
Data Engineer / ETL-Entwickler (m/w/d) (Data Engineer),30/05/2023,msg nexinsure ag,"Germany : Passau, Kreisfreie Stadt , München, Landkreis , Hamburg , Chemnitz, Kreisfreie Stadt",Full-time
Senior Process Data Engineer (w/m/d) (Data Engineer),30/05/2023,Wacker Chemie AG,Germany : Altötting,Full-time
